"","taxa","size","weight","energy","image_area","energy_density"
"1","Acartia spp. (unidentified)",1.2,0.12,0.42,0.318086256175966,3500
"2","Appendicularia",1,0.59,1.888,0.392699081698724,3200
"3","Calanus finmarchicus",2.7,0.64,2.816,1.61031167189083,4400
"4","Calanus helgolandicus",2.7,0.64,2.816,1.61031167189083,4400
"5","Calanus I-IV",1.6,0.21,0.798,0.565486677646163,3800
"6","Calanus V-VI unidentified",2.5,0.55,2.42,1.38058270909708,4400
"7","Centropages hamatus",1.3,0.14,0.476,0.37330956453985,3400
"8","Centropages spp. (Unidentified)",1.6,0.21,0.735,0.565486677646163,3500
"9","Centropages typicus",1.6,0.21,0.756,0.565486677646163,3600
"10","Cirripede larvae (Total)",0.68,0.021,0.0924,0.36316811075498,4400
"11","Copepod nauplii",0.19,0.0029,0.00435,0.0283528736986479,1500
"12","Decapoda larvae (Total)",0.9,0.46,1.472,0.636172512351933,3200
"13","Euphausiacea Total",17,56,252,28.3725086527328,4500
"14","Evadne spp.",0.5,0.021,0.0924,0.196349540849362,4400
"15","Fish eggs (Total)",1,1.6,2.72,0.785398163397448,1700
"16","Fish larvae",12,2,4,6.56832849607075,2000
"17","Hyperiidea (Total)",16,32,92.8,54.8350717717491,2900
"18","Metridia lucens",2.3,0.46,1.426,1.16852520497977,3100
"19","Oithona spp.",0.68,0.036,0.09,0.102141031149838,2500
"20","Para-Pseudocalanus spp.",0.7,0.038,0.1292,0.108237684393211,3400
"21","Podon spp.",1,0.21,0.924,0.785398163397448,4400
"22","Temora longicornis",1,0.08,0.24,0.220893233455532,3000
